sku,product_name,brand,category1,category2,category3
P000004282,CHOCO BREAD STICK 4 PC,Meadows,Candies / Biscuits / Snacks,Biscuits,Biscuit sticks
P000002544,Goldfish Baked Snack Crackers (Cheddar) 187g,Pepperidge Farm,Candies / Biscuits / Snacks,Biscuits,Cheese crackers
P000000366,Saltine Cracker 141g,EDO Pack Haitai,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000003658,Milk Cracker 172g,EDO Pack Haitai,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000000649,EDO Premium Cracker 172g,EDO Pack Haitai,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000003660,Artisan Nut-Thins - Multi-Seeds 120.5g,Blue Diamond,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000003647,Crunchy Chocolate Wafer Roll Vanilla Flavour 60g,Want Want,Candies / Biscuits / Snacks,Biscuits,Wafers
P000003836,Wafer Peanut FLV 200 GM,Meadows,Candies / Biscuits / Snacks,Biscuits,Wafers
P000003839,Wafer Chocolate FLV 200 GM,Meadows,Candies / Biscuits / Snacks,Biscuits,Wafers
P000004234,WAFER ROLLS-CHEESE FLAVOUR 700 GM,Meadows,Candies / Biscuits / Snacks,Biscuits,Wafers
P000004219,WAFER ROLL-CHOCOLATE PEANUT FL 700 GM,Meadows,Candies / Biscuits / Snacks,Biscuits,Wafers
P000001187,Saltine - Original 200g (089782016348),Garden,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000004283,CHEESE WAFER ROLLS TIN 270 GM,Meadows,Candies / Biscuits / Snacks,Biscuits,Wafers
P000000258,Cheese Cracker 172g,EDO Pack Haitai,Candies / Biscuits / Snacks,Biscuits,Cheese crackers
P000000049,Soda Cracker - Sesame 100g,Pacific,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000003310,Soda Cracker - Saltine 100g,Pacific,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000003688,Saltine - Sesame 205g,Meadows,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000004228,SPRING ONION SALTINE CRACKERS 205 GM,Meadows,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000004226,SEAWEED SALTINES 205 GM,Meadows,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000003838,Original Saltines 205 GM,Meadows,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000004227,OAT SALTINES 205 GM,Meadows,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000003676,Cream Crackers 424g,Meadows,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000000651,Saltine - Sesame 210g,Garden,Candies / Biscuits / Snacks,Biscuits,Saltine crackers / Soda crackers / Cream crackers
P000002412,Lungan Honey 500g,Po Sang Yuen Pure Honey,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001561,Acacia Honey 500g,Po Sang Yuen Pure Honey,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001612,Lungan Honey 1kg,Po Sang Yuen Pure Honey,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000002087,Pure Canadian Honey  375g,Naturoney,Bakery / Cereals / Spreads,Honey / Syrup,Honey
P000001975,Centifloral Honey 454g,Nature,Bakery / Cereals / Spreads,Honey / Syrup,Honey
